Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensityB,SourceIntensityV,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
2878,251.767837,-1.895707,251.76775,-1.895801,871,1058,872.553,1056.312,1,92.8098,505.759,1,27.5554,D.N.,-6.7599,0.0592,2,B,8.756848,8.344264,8.900994,8.751723,9.054587,0,1.662298,1.607067,5,5,5,0,8,15,79.04,0,513,3.74,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2879,251.806046,-1.895762,251.806062,-1.895734,182,1057,181.701,1057.51,1,764.767,2733.56,1,57.0839,D.N.,-8.5918,0.0227,2,B,10.636492,9.610532,11.424113,9.896767,12.043258,0,3.815567,2.309019,5,5,5,0,8,15,79.04,0,505,3.43,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2880,251.806046,-1.895263,251.806023,-1.89525,182,1066,182.409,1066.23,1,764.767,908.477,1,47.4942,D.N.,-7.3958,0.0568,2,B,11.601817,11.911637,14.049186,9.740253,16.940756,0,9.475696,3.69591,5,5,5,0,8,15,79.04,0,501,3.59,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2881,251.795953,-1.895707,251.795916,-1.895713,364,1058,364.662,1057.891,1,146.031,699.853,1,32.789,D.N.,-7.1125,0.0509,2,B,10.240618,9.300556,10.587401,9.768507,10.928121,0,2.710245,1.950616,5,5,5,0,8,15,79.04,0,501,3.92,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2882,251.810482,-1.89554,251.810476,-1.895545,102,1061,102.116,1060.908,1,905.03,3055.27,1,58.6313,D.N.,-8.7126,0.0208,2,B,9.925199,10.154113,10.078639,9.640597,10.293309,0,2.093289,1.972035,5,5,5,0,8,15,79.04,0,509,3.32,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2883,251.805103,-1.895485,251.80506,-1.895482,199,1062,199.764,1062.043,1,1019.43,3653.33,1,65.2723,D.N.,-8.9067,0.0194,2,B,10.986117,10.237682,11.943977,9.839547,12.596535,0,4.005789,2.479638,5,5,5,0,8,15,79.04,0,498,3.34,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2884,251.793457,-1.895596,251.793429,-1.895594,409,1060,409.511,1060.04,1,154.364,617.371,1,29.0832,D.N.,-6.9764,0.0511,2,B,9.716676,10.138625,9.753829,9.829248,9.875562,0,1.547322,1.526095,5,5,5,0,8,15,79.04,0,515,3.49,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2885,251.77865,-1.895541,251.778601,-1.895537,676,1061,676.894,1061.073,1,337.569,1297.07,1,38.7762,D.N.,-7.7824,0.0325,2,B,9.029894,9.010698,9.116377,8.863041,9.239504,0,1.504827,1.450688,5,5,5,0,8,15,79.04,0,514,3.83,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2886,251.756745,-1.89543,251.756666,-1.895336,1071,1063,1072.429,1064.686,1,1360.21,4983.77,1,72.9065,D.N.,-9.2439,0.0159,2,B,9.294283,9.671849,9.417912,9.033779,9.592467,0,1.823427,1.836453,5,5,5,0,8,15,79.04,0,509,3.71,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2887,251.756635,-1.895264,251.756672,-1.895337,1073,1066,1072.326,1064.685,1,1359.86,4983.17,1,72.9024,D.N.,-9.2438,0.0159,2,B,9.294283,9.671849,9.417912,9.026129,9.592467,0,1.823427,1.836453,5,5,5,0,8,15,79.04,0,509,1.04,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2888,251.79623,-1.895596,251.795914,-1.895712,359,1060,364.692,1057.905,1,146.638,700.217,1,32.7946,D.N.,-7.1131,0.0508,2,B,10.240618,9.300556,10.587401,9.783827,10.928121,0,2.710245,1.950616,5,5,5,0,8,15,79.04,0,501,10.34,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2889,251.785305,-1.895374,251.78529,-1.895371,556,1064,556.279,1064.067,1,1301.1,4863.33,1,80.2005,D.N.,-9.2173,0.0179,2,B,11.542566,10.151106,14.715038,9.616054,17.957457,0,10.302821,3.99139,5,5,5,0,8,15,79.04,0,505,3.26,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2890,251.727243,-1.895485,251.72725,-1.895461,1603,1062,1602.868,1062.432,1,178.121,750.277,1,31.4578,D.N.,-7.1881,0.0455,2,B,8.642978,8.997515,8.654691,8.185688,8.796784,0,1.57625,1.561633,5,5,5,0,8,15,79.04,0,514,3.36,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2891,251.758409,-1.895485,251.7584,-1.895435,1041,1062,1041.165,1062.917,1,160.028,662.069,1,30.0345,D.N.,-7.0523,0.0493,2,B,8.712586,9.253813,8.654362,8.888319,8.788972,0,1.533828,1.56387,5,5,5,0,8,15,79.04,0,514,3.61,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2892,251.746098,-1.89543,251.746088,-1.89542,1263,1063,1263.176,1063.175,1,121.375,527.13,1,27.8037,D.N.,-6.8048,0.0573,2,B,9.236414,9.105656,9.277329,8.971855,9.406027,0,1.552157,1.583333,5,5,5,0,8,15,79.04,0,515,3.65,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2893,251.812257,-1.895374,251.812257,-1.895359,70,1064,69.987,1064.268,1,234.826,925.598,1,34.8335,D.N.,-7.4161,0.0409,2,B,9.788157,9.533316,10.09568,9.767238,10.397382,0,2.488972,1.710498,5,5,5,0,8,15,79.04,0,508,3.46,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2894,251.809595,-1.895374,251.809593,-1.895338,118,1064,118.027,1064.644,1,248.977,1004.39,1,37.219,D.N.,-7.5048,0.0402,2,B,10.007112,9.419809,10.429443,9.569132,10.82399,0,2.898615,1.968187,5,5,5,0,8,15,79.04,0,509,3.35,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2895,251.784751,-1.895264,251.784788,-1.895281,566,1066,565.326,1065.68,1,1300.89,974.66,1,58.2173,D.N.,-7.4721,0.0648,2,B,10.820068,9.61649,16.768299,9.45576,25.412927,0,19.114738,4.945959,5,5,5,0,8,15,79.04,0,499,14.14,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2896,251.779871,-1.895264,251.779854,-1.895266,654,1066,654.304,1065.952,1,992.439,3479.54,1,61.3051,D.N.,-8.8538,0.0191,2,B,9.471164,8.633651,9.536826,8.931777,9.682507,0,1.674922,1.685148,5,5,5,0,8,15,79.04,0,513,3.3,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2897,251.770776,-1.895153,251.770758,-1.895125,818,1068,818.321,1068.507,1,418.76,1573.71,1,42.4337,D.N.,-7.9923,0.0293,2,B,8.973274,9.413197,8.922515,8.932612,9.068011,0,1.619479,1.518897,5,5,5,0,8,15,79.04,0,508,3.4,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2898,251.762014,-1.895208,251.761985,-1.89522,976,1067,976.514,1066.795,1,80.8399,413.388,1,25.288,D.N.,-6.5409,0.0664,2,B,8.754192,8.115669,8.752659,8.794213,8.902226,0,1.626568,1.518174,5,5,5,0,8,15,79.04,0,515,3.22,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2899,251.800445,-1.894986,251.800462,-1.894946,283,1071,282.689,1071.715,1,1750.81,7655.44,1,89.0578,D.N.,-9.7099,0.0126,2,B,10.49562,10.482751,10.625273,9.605805,10.790815,0,1.884751,1.674014,5,5,5,0,8,15,79.04,0,506,3.65,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2900,251.795731,-1.894986,251.795734,-1.894938,368,1071,367.946,1071.866,1,176.867,779.382,1,32.3456,D.N.,-7.2294,0.0451,2,B,9.891699,9.500409,10.227507,9.825173,10.504541,0,2.398931,1.646189,5,5,5,0,8,15,79.04,0,505,3.68,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2901,251.781146,-1.894986,251.781137,-1.894949,631,1071,631.171,1071.674,1,45.9209,318.317,1,24.6204,D.N.,-6.2571,0.084,2,B,9.45254,8.464855,9.719927,8.995161,9.964238,0,2.195145,1.708712,5,5,5,0,8,15,79.04,0,502,3.63,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2902,251.807377,-1.894875,251.807732,-1.894689,158,1073,151.598,1076.362,1,755.246,2592.95,1,54.9606,D.N.,-8.5345,0.023,2,B,10.867849,11.00061,11.108209,9.535233,11.422336,0,2.662997,2.083291,5,5,5,0,8,15,79.04,0,503,3.35,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2903,251.783752,-1.894876,251.783712,-1.894887,584,1073,584.728,1072.785,1,90.6379,484.063,1,27.1059,D.N.,-6.7123,0.0608,2,B,9.048915,8.631586,9.15392,9.232945,9.281726,0,1.536488,1.597947,5,5,5,0,8,15,79.04,0,513,3.81,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2904,251.773659,-1.894765,251.773647,-1.894767,766,1075,766.23,1074.954,1,848.022,3085.83,1,58.3022,D.N.,-8.7234,0.0205,2,B,9.423368,9.606707,10.324687,9.275428,11.355906,0,4.733082,1.782707,5,5,5,0,8,15,79.04,0,502,3.25,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
