Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
1593,251.792236,-1.924194,251.792207,-1.924112,431,544,431.529,545.484,1,520.576,1,42.8653,D.N.,-6.7912,0.0894,2,B,7.583127,7.293652,10.452008,6.771796,14.654303,0,10.281725,3.656183,5,5,5,0,8,15,79.04,0,504,4.82,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1594,251.787301,-1.924139,251.78754,-1.923915,520,545,515.689,549.03,1,513.007,1,50.3069,D.N.,-6.7753,0.1065,2,B,9.037042,8.975859,10.9771,7.470101,12.86128,0,6.708611,4.524014,5,5,5,0,8,15,79.04,0,502,9.63,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1595,251.756857,-1.924028,251.756807,-1.924019,1069,547,1069.898,547.154,1,108.272,1,16.6879,D.N.,-5.0863,0.1673,2,B,5.553145,6.649315,5.539833,5.611424,5.707008,0,1.37254,1.316766,5,5,5,0,8,15,79.04,0,513,0.26,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1596,251.751644,-1.923973,251.751595,-1.923956,1163,548,1163.889,548.294,1,118.992,1,19.0317,D.N.,-5.1888,0.1736,2,B,5.319233,5.299871,5.559435,5.171237,5.896936,0,1.968289,1.572494,5,5,5,0,8,15,79.04,0,508,3.56,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1597,251.742328,-1.923972,251.742276,-1.923945,1331,548,1331.928,548.493,1,166.618,1,29.1249,D.N.,-5.5543,0.1898,2,B,6.391393,6.407694,7.121534,5.189559,7.948005,0,3.532618,2.629449,5,5,5,0,8,15,79.04,0,502,0.28,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1598,251.71449,-1.923972,251.714476,-1.923924,1833,548,1833.259,548.869,1,148.676,1,19.5618,D.N.,-5.4306,0.1428,2,B,4.899462,4.669726,4.915241,4.88769,5.137629,0,1.496658,1.544451,5,5,5,0,8,15,79.04,0,515,3.78,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1599,251.791293,-1.923972,251.791265,-1.923972,448,548,448.506,547.999,1,857.259,1,36.4076,D.N.,-7.3328,0.0461,2,B,7.335403,6.436904,7.686508,6.697279,8.030138,0,2.326271,2.178488,5,5,5,0,8,15,79.04,0,500,3.86,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1600,251.787578,-1.923972,251.787538,-1.923915,515,548,515.71,549.037,1,512.095,1,50.2979,D.N.,-6.7734,0.1066,2,B,9.037042,8.975859,10.9771,7.513865,12.86128,0,6.708611,4.524014,5,5,5,0,8,15,79.04,0,502,4.93,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1601,251.764565,-1.923862,251.76455,-1.923805,930,550,930.271,551.031,1,586.24,1,28.9628,D.N.,-6.9202,0.0536,2,B,6.576814,6.584783,6.599602,6.019851,6.815164,0,1.70218,1.602571,5,5,5,0,8,15,79.04,0,508,4.44,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1602,251.752476,-1.923806,251.752463,-1.923768,1148,551,1148.233,551.69,1,1168.92,1,37.4822,D.N.,-7.6695,0.0348,2,B,5.759468,5.98541,5.737121,5.19477,5.942632,0,1.550815,1.549893,5,5,5,0,8,15,79.04,0,511,3.96,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1603,251.728187,-1.923917,251.728135,-1.923904,1586,549,1586.932,549.237,1,168.395,1,18.5649,D.N.,-5.5658,0.1197,2,B,5.087063,4.659154,5.118213,4.766456,5.309068,0,1.412084,1.339951,5,5,5,0,8,15,79.04,0,513,3.99,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1604,251.772994,-1.923751,251.772936,-1.923726,778,552,779.042,552.445,1,891.9,1,33.2286,D.N.,-7.3758,0.0404,2,B,5.916065,5.344612,5.997916,6.370596,6.173786,0,1.464515,1.470916,5,5,5,0,8,15,79.04,0,515,4.62,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1605,251.72242,-1.923806,251.722392,-1.923763,1690,551,1690.5,551.772,1,145.773,1,18.7552,D.N.,-5.4092,0.1397,2,B,5.090625,5.320969,4.999442,5.057962,5.21362,0,1.480431,1.448818,5,5,5,0,8,15,79.04,0,514,3.91,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1606,251.813419,-1.923805,251.813391,-1.923752,49,551,49.508,551.963,1,1212.66,1,62.9854,D.N.,-7.7093,0.0564,2,B,8.639677,6.326278,13.403426,7.625147,20.578293,0,15.630038,5.288896,5,5,5,0,8,15,79.04,0,505,1.06,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1607,251.809038,-1.923695,251.809011,-1.923634,128,553,128.492,554.097,1,2567.44,1,74.1072,D.N.,-8.5238,0.0313,2,B,10.144389,7.167365,12.445004,7.783503,14.16668,0,6.775554,5.446389,5,5,5,0,8,15,79.04,0,502,0.28,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1608,251.705451,-1.923473,251.705399,-1.923449,1996,557,1996.933,557.427,1,8418.32,1,93.6278,D.N.,-9.8131,0.0121,2,B,6.681178,5.563313,6.748967,5.012369,7.021049,0,1.937498,1.882358,5,5,5,0,8,15,79.04,0,513,4.67,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1609,251.795619,-1.923751,251.795332,-1.923416,370,552,375.176,558.04,1,5160.78,1,76.2181,D.N.,-9.2818,0.016,2,B,8.440835,8.078455,9.14425,6.968209,9.667762,0,3.141331,2.564589,5,5,5,0,8,15,79.04,0,502,12.43,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1610,251.795341,-1.923473,251.795332,-1.923416,375,557,375.171,558.04,1,5160.78,1,76.2181,D.N.,-9.2818,0.016,2,B,8.440835,8.078455,9.14425,6.895605,9.667762,0,3.141331,2.564589,5,5,5,0,8,15,79.04,0,502,4.47,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1611,251.795452,-1.92303,251.79533,-1.923416,373,565,375.21,558.037,1,5160.78,1,76.2181,D.N.,-9.2818,0.016,2,B,8.440835,8.078455,9.14425,6.907021,9.667762,0,3.141331,2.564589,5,5,5,0,8,15,79.04,0,502,4.42,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1612,251.782421,-1.923695,251.782408,-1.92359,608,553,608.225,554.903,1,1647.78,1,48.1122,D.N.,-8.0422,0.0317,2,B,7.934366,7.725922,8.896613,6.72225,9.686511,0,3.835157,2.597959,5,5,5,0,8,15,79.04,0,496,0.28,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1613,251.78231,-1.923197,251.782415,-1.923589,610,562,608.102,554.911,1,1647.78,1,48.1122,D.N.,-8.0422,0.0317,2,B,7.934366,7.725922,8.896613,6.632488,9.686511,0,3.835157,2.597959,5,5,5,0,8,15,79.04,0,496,7.9,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1614,251.738834,-1.923584,251.738781,-1.923578,1394,555,1394.955,555.121,1,930.155,1,34.0904,D.N.,-7.4214,0.0398,2,B,5.521008,4.862399,5.49719,4.818929,5.711727,0,1.552234,1.537001,5,5,5,0,8,15,79.04,0,512,4.06,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1615,251.812532,-1.923418,251.812502,-1.923401,65,558,65.541,558.291,1,21603,1,154.728,D.N.,-10.8363,0.0078,2,B,12.621201,10.535417,14.238346,7.522327,15.430682,0,5.953623,4.872222,5,5,5,0,8,15,79.04,0,505,3.66,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1616,251.808484,-1.923695,251.808511,-1.923413,138,553,137.509,558.093,1,1151,1,69.5991,D.N.,-7.6527,0.0657,2,B,10.023458,6.7624,13.487515,7.745102,16.457221,0,9.439558,6.117962,5,5,5,0,8,15,79.04,0,500,4.18,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1617,251.808539,-1.923362,251.80851,-1.923412,137,559,137.534,558.097,1,1149.9,1,69.5912,D.N.,-7.6516,0.0657,2,B,10.023458,6.7624,13.487515,7.738699,16.457221,0,9.439558,6.117962,5,5,5,0,8,15,79.04,0,500,4.31,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1618,251.787855,-1.923751,251.787635,-1.92345,510,552,513.972,557.428,1,1358.97,1,44.1474,D.N.,-7.833,0.0353,2,B,7.382468,6.113402,7.942011,7.482501,8.428367,0,2.82447,2.447811,5,5,5,0,8,15,79.04,0,505,11.26,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1619,251.787633,-1.923474,251.787639,-1.923449,514,557,513.899,557.439,1,1361.13,1,44.1719,D.N.,-7.8348,0.0352,2,B,7.382468,6.113402,7.942011,7.500867,8.428367,0,2.82447,2.447811,5,5,5,0,8,15,79.04,0,505,3.83,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1620,251.723418,-1.923529,251.723434,-1.923507,1672,556,1671.703,556.397,1,502.636,1,27.0854,D.N.,-6.7531,0.0585,2,B,5.103454,5.080467,5.098791,5.205501,5.313997,0,1.498417,1.534496,5,5,5,0,8,15,79.04,0,515,4.01,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1621,251.802883,-1.923362,251.802834,-1.923349,239,559,239.882,559.245,1,15635.8,1,132.249,D.N.,-10.4853,0.0092,2,B,12.184503,10.839034,14.123941,7.824337,15.631847,0,6.70511,4.33656,5,5,5,0,8,15,79.04,0,502,4.67,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1622,251.764953,-1.923585,251.76455,-1.923804,923,555,930.266,551.044,1,586.498,1,28.9673,D.N.,-6.9207,0.0536,2,B,6.576814,6.584783,6.599602,5.989838,6.815164,0,1.70218,1.602571,5,5,5,0,8,15,79.04,0,508,4.5,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1623,251.779482,-1.923529,251.779429,-1.923421,661,556,661.95,557.951,1,719.146,1,34.5602,D.N.,-7.142,0.0522,2,B,6.652908,6.448452,7.579718,6.470219,8.33626,0,3.473498,2.195173,5,5,5,0,8,15,79.04,0,501,4.29,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1624,251.779315,-1.923252,251.779429,-1.923421,664,561,661.954,557.949,1,718.903,1,34.5567,D.N.,-7.1417,0.0522,2,B,6.652908,6.448452,7.579718,6.41549,8.33626,0,3.473498,2.195173,5,5,5,0,8,15,79.04,0,501,41.26,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1625,251.805434,-1.923473,251.805398,-1.923457,193,557,193.648,557.3,1,966.468,1,39.7871,D.N.,-7.463,0.0447,2,B,8.213934,8.00739,8.987592,7.473372,9.55782,0,3.25517,2.501732,5,5,5,0,8,15,79.04,0,504,0.28,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
